"V1" "V2" "V3" "V4" "V5"
"22142" 8602 2 1000 5 0.9
"28182" 11002 2 1000 5 0.95
"7653" 2002 2 1000 10 0.6
"18733" 4402 2 1000 10 0.7
"28453" 6802 2 1000 10 0.8
"4373" 402 2 1000 10 0.9
"16343" 1147 2 1000 10 0.95
"301" 302 2 2000 2 0.6
"905" 2702 2 2000 2 0.7
"1502" 5102 2 2000 2 0.8
"2102" 7502 2 2000 2 0.9
"2702" 9902 2 2000 2 0.95
"3041" 902 2 2000 3 0.6
"9041" 3302 2 2000 3 0.7
"15021" 5702 2 2000 3 0.8
"21031" 8102 2 2000 3 0.9
"27051" 10502 2 2000 3 0.95
"3032" 1502 2 2000 5 0.6
"11122" 3902 2 2000 5 0.7
"17132" 6302 2 2000 5 0.8
"23122" 8702 2 2000 5 0.9
"29122" 11102 2 2000 5 0.95
"8903" 2102 2 2000 10 0.6
"20073" 4502 2 2000 10 0.7
"29323" 6902 2 2000 10 0.8
"6473" 502 2 2000 10 0.9
"20953" 1247 2 2000 10 0.95
"408" 402 2 5000 2 0.6
"1012" 2802 2 5000 2 0.7
"1620" 5202 2 5000 2 0.8
"2219" 7602 2 5000 2 0.9
"2804" 10002 2 5000 2 0.95
"4291" 1002 2 5000 3 0.6
"10041" 3402 2 5000 3 0.7
"16181" 5802 2 5000 3 0.8
"22091" 8202 2 5000 3 0.9
"28161" 10602 2 5000 3 0.95
"4062" 1602 2 5000 5 0.6
"12103" 4002 2 5000 5 0.7
"18202" 6402 2 5000 5 0.8
"24142" 8802 2 5000 5 0.9
"6892" 858 2 5000 5 0.95
"10263" 2202 2 5000 10 0.6
"21593" 4602 2 5000 10 0.7
"3514" 2 2 5000 10 0.8
"11273" 602 2 5000 10 0.9
"24263" 1347 2 5000 10 0.95
"507" 502 2 10000 2 0.6
"1107" 2902 2 10000 2 0.7
"1708" 5302 2 10000 2 0.8
"2311" 7702 2 10000 2 0.9
"2909" 10102 2 10000 2 0.95
"5021" 1102 2 10000 3 0.6
"11261" 3502 2 10000 3 0.7
"17031" 5902 2 10000 3 0.8
"23121" 8302 2 10000 3 0.9
"29111" 10702 2 10000 3 0.95
"5032" 1702 2 10000 5 0.6
"13152" 4102 2 10000 5 0.7
"19092" 6502 2 10000 5 0.8
"25182" 8902 2 10000 5 0.9
"6852" 847 2 10000 5 0.95
"11593" 2302 2 10000 10 0.6
"22815" 4702 2 10000 10 0.7
"15214" 102 2 10000 10 0.8
"13303" 702 2 10000 10 0.9
"25323" 1447 2 10000 10 0.95
"12" 3 3 100 2 0.6
"614" 2403 3 100 2 0.7
"1209" 4803 3 100 2 0.8
"1810" 7203 3 100 2 0.9
"2410" 9603 3 100 2 0.95
"23100" 603 3 100 3 0.6
"6081" 3003 3 100 3 0.7
"12321" 5403 3 100 3 0.8
"18101" 7803 3 100 3 0.9
"24061" 10203 3 100 3 0.95
"4102" 1203 3 100 5 0.6
"8113" 3603 3 100 5 0.7
"14362" 6003 3 100 5 0.8
"20152" 8403 3 100 5 0.9
"26192" 10803 3 100 5 0.95
"5383" 1803 3 100 10 0.6
"16693" 4203 3 100 10 0.7
"26323" 6603 3 100 10 0.8
"23314" 203 3 100 10 0.9
"14383" 948 3 100 10 0.95
"112" 103 3 500 2 0.6
"703" 2503 3 500 2 0.7
"1304" 4903 3 500 2 0.8
"1904" 7303 3 500 2 0.9
"2516" 9703 3 500 2 0.95
"10410" 703 3 500 3 0.6
"7041" 3103 3 500 3 0.7
"13051" 5503 3 500 3 0.8
"19031" 7903 3 500 3 0.9
"25081" 10303 3 500 3 0.95
"10312" 1303 3 500 5 0.6
"9103" 3703 3 500 5 0.7
"15172" 6103 3 500 5 0.8
"21232" 8503 3 500 5 0.9
"27222" 10903 3 500 5 0.95
"6403" 1903 3 500 10 0.6
"17503" 4303 3 500 10 0.7
"27343" 6703 3 500 10 0.8
"3273" 303 3 500 10 0.9
"15373" 1048 3 500 10 0.95
"206" 203 3 1000 2 0.6
"805" 2603 3 1000 2 0.7
"1403" 5003 3 1000 2 0.8
"2004" 7403 3 1000 2 0.9
"2610" 9803 3 1000 2 0.95
"20610" 803 3 1000 3 0.6
"8041" 3203 3 1000 3 0.7
"14031" 5603 3 1000 3 0.8
"20021" 8003 3 1000 3 0.9
"26091" 10403 3 1000 3 0.95
"20412" 1403 3 1000 5 0.6
"10103" 3803 3 1000 5 0.7
"16113" 6203 3 1000 5 0.8
"22162" 8603 3 1000 5 0.9
"28232" 11003 3 1000 5 0.95
"7643" 2003 3 1000 10 0.6
"18773" 4403 3 1000 10 0.7
"28315" 6803 3 1000 10 0.8
"4403" 403 3 1000 10 0.9
"16303" 1148 3 1000 10 0.95
"304" 303 3 2000 2 0.6
"902" 2703 3 2000 2 0.7
"1504" 5103 3 2000 2 0.8
"2105" 7503 3 2000 2 0.9
"2703" 9903 3 2000 2 0.95
"3031" 903 3 2000 3 0.6
"9011" 3303 3 2000 3 0.7
"15041" 5703 3 2000 3 0.8
"21021" 8103 3 2000 3 0.9
"27041" 10503 3 2000 3 0.95
"3052" 1503 3 2000 5 0.6
"11113" 3903 3 2000 5 0.7
"17113" 6303 3 2000 5 0.8
"23132" 8703 3 2000 5 0.9
"29113" 11103 3 2000 5 0.95
"8933" 2103 3 2000 10 0.6
"20053" 4503 3 2000 10 0.7
"29303" 6903 3 2000 10 0.8
"6483" 503 3 2000 10 0.9
"20933" 1248 3 2000 10 0.95
"414" 403 3 5000 2 0.6
"1006" 2803 3 5000 2 0.7
"1621" 5203 3 5000 2 0.8
"2204" 7603 3 5000 2 0.9
"2810" 10003 3 5000 2 0.95
"4041" 1003 3 5000 3 0.6
"10141" 3403 3 5000 3 0.7
"16041" 5803 3 5000 3 0.8
"22061" 8203 3 5000 3 0.9
"28171" 10603 3 5000 3 0.95
"4032" 1603 3 5000 5 0.6
"12132" 4003 3 5000 5 0.7
"18182" 6403 3 5000 5 0.8
"24132" 8803 3 5000 5 0.9
"6222" 801 3 5000 5 0.95
"10303" 2203 3 5000 10 0.6
"21393" 4603 3 5000 10 0.7
"3914" 3 3 5000 10 0.8
"11343" 603 3 5000 10 0.9
"24173" 1348 3 5000 10 0.95
"509" 503 3 10000 2 0.6
"1113" 2903 3 10000 2 0.7
"1713" 5303 3 10000 2 0.8
"2305" 7703 3 10000 2 0.9
"2920" 10103 3 10000 2 0.95
"5051" 1103 3 10000 3 0.6
"11021" 3503 3 10000 3 0.7
"17041" 5903 3 10000 3 0.8
"23061" 8303 3 10000 3 0.9
"29121" 10703 3 10000 3 0.95
"5103" 1703 3 10000 5 0.6
"13122" 4103 3 10000 5 0.7
"19162" 6503 3 10000 5 0.8
"25122" 8903 3 10000 5 0.9
"6842" 848 3 10000 5 0.95
"11623" 2303 3 10000 10 0.6
"22703" 4703 3 10000 10 0.7
"14814" 103 3 10000 10 0.8
"13403" 703 3 10000 10 0.9
"25343" 1448 3 10000 10 0.95
"13" 4 4 100 2 0.6
"607" 2404 4 100 2 0.7
"1228" 4804 4 100 2 0.8
"1814" 7204 4 100 2 0.9
"2409" 9604 4 100 2 0.95
"14100" 604 4 100 3 0.6
"6051" 3004 4 100 3 0.7
"12181" 5404 4 100 3 0.8
"18051" 7804 4 100 3 0.9
"24091" 10204 4 100 3 0.95
"6102" 1204 4 100 5 0.6
"8122" 3604 4 100 5 0.7
"14382" 6004 4 100 5 0.8
"20372" 8404 4 100 5 0.9
"26362" 10804 4 100 5 0.95
"5373" 1804 4 100 10 0.6
"16633" 4204 4 100 10 0.7
"26373" 6604 4 100 10 0.8
"23014" 204 4 100 10 0.9
"14393" 949 4 100 10 0.95
"103" 104 4 500 2 0.6
"709" 2504 4 500 2 0.7
"1305" 4904 4 500 2 0.8
"1909" 7304 4 500 2 0.9
"2511" 9704 4 500 2 0.95
"10610" 704 4 500 3 0.6
"7061" 3104 4 500 3 0.7
"13041" 5504 4 500 3 0.8
"19051" 7904 4 500 3 0.9
"25051" 10304 4 500 3 0.95
"10612" 1304 4 500 5 0.6
"9132" 3704 4 500 5 0.7
"15122" 6104 4 500 5 0.8
"21213" 8504 4 500 5 0.9
"27142" 10904 4 500 5 0.95
"6253" 1904 4 500 10 0.6
"17515" 4304 4 500 10 0.7
"27353" 6704 4 500 10 0.8
"3333" 304 4 500 10 0.9
"15393" 1049 4 500 10 0.95
"210" 204 4 1000 2 0.6
"804" 2604 4 1000 2 0.7
"1404" 5004 4 1000 2 0.8
"2006" 7404 4 1000 2 0.9
"2608" 9804 4 1000 2 0.95
"20810" 804 4 1000 3 0.6
"8051" 3204 4 1000 3 0.7
"14061" 5604 4 1000 3 0.8
"20061" 8004 4 1000 3 0.9
"26051" 10404 4 1000 3 0.95
"20312" 1404 4 1000 5 0.6
"10162" 3804 4 1000 5 0.7
"16122" 6204 4 1000 5 0.8
"22152" 8604 4 1000 5 0.9
"28213" 11004 4 1000 5 0.95
"7703" 2004 4 1000 10 0.6
"18823" 4404 4 1000 10 0.7
"28333" 6804 4 1000 10 0.8
"4423" 404 4 1000 10 0.9
"16323" 1149 4 1000 10 0.95
"302" 304 4 2000 2 0.6
"903" 2704 4 2000 2 0.7
"1501" 5104 4 2000 2 0.8
"2104" 7504 4 2000 2 0.9
"2704" 9904 4 2000 2 0.95
"3051" 904 4 2000 3 0.6
"9021" 3304 4 2000 3 0.7
"15051" 5704 4 2000 3 0.8
"21051" 8104 4 2000 3 0.9
"27031" 10504 4 2000 3 0.95
"3042" 1504 4 2000 5 0.6
"11103" 3904 4 2000 5 0.7
"17122" 6304 4 2000 5 0.8
"23113" 8704 4 2000 5 0.9
"29132" 11104 4 2000 5 0.95
"8923" 2104 4 2000 10 0.6
"20083" 4504 4 2000 10 0.7
"29315" 6904 4 2000 10 0.8
"6693" 504 4 2000 10 0.9
"20943" 1249 4 2000 10 0.95
"403" 404 4 5000 2 0.6
"1008" 2804 4 5000 2 0.7
"1602" 5204 4 5000 2 0.8
"2206" 7604 4 5000 2 0.9
"2805" 10004 4 5000 2 0.95
"4131" 1004 4 5000 3 0.6
"10111" 3404 4 5000 3 0.7
"16081" 5804 4 5000 3 0.8
"22131" 8204 4 5000 3 0.9
"28151" 10604 4 5000 3 0.95
"4082" 1604 4 5000 5 0.6
"12162" 4004 4 5000 5 0.7
"18142" 6404 4 5000 5 0.8
"24172" 8804 4 5000 5 0.9
"6042" 802 4 5000 5 0.95
"10315" 2204 4 5000 10 0.6
"21503" 4604 4 5000 10 0.7
"4014" 4 4 5000 10 0.8
"11083" 604 4 5000 10 0.9
"24353" 1349 4 5000 10 0.95
"510" 504 4 10000 2 0.6
"1102" 2904 4 10000 2 0.7
"1704" 5304 4 10000 2 0.8
"2304" 7704 4 10000 2 0.9
"2912" 10104 4 10000 2 0.95
"5081" 1104 4 10000 3 0.6
"11311" 3504 4 10000 3 0.7
"17051" 5904 4 10000 3 0.8
"23101" 8304 4 10000 3 0.9
"29101" 10704 4 10000 3 0.95
"5022" 1704 4 10000 5 0.6
"13202" 4104 4 10000 5 0.7
"19122" 6504 4 10000 5 0.8
"25113" 8904 4 10000 5 0.9
"6822" 849 4 10000 5 0.95
"11633" 2304 4 10000 10 0.6
"22743" 4704 4 10000 10 0.7
"14414" 104 4 10000 10 0.8
"13343" 704 4 10000 10 0.9
"25333" 1449 4 10000 10 0.95
"29" 5 5 100 2 0.6
"606" 2405 5 100 2 0.7
"1212" 4805 5 100 2 0.8
"1805" 7205 5 100 2 0.9
"2405" 9605 5 100 2 0.95
"5100" 605 5 100 3 0.6
"6091" 3005 5 100 3 0.7
"12071" 5405 5 100 3 0.8
"18141" 7805 5 100 3 0.9
"24291" 10205 5 100 3 0.95
"9102" 1205 5 100 5 0.6
"8152" 3605 5 100 5 0.7
"14262" 6005 5 100 5 0.8
"20222" 8405 5 100 5 0.9
"26332" 10805 5 100 5 0.95
"5415" 1805 5 100 10 0.6
"16523" 4205 5 100 10 0.7
"26603" 6605 5 100 10 0.8
"23214" 205 5 100 10 0.9
"14303" 950 5 100 10 0.95
"104" 105 5 500 2 0.6
"707" 2505 5 500 2 0.7
"1307" 4905 5 500 2 0.8
"1905" 7305 5 500 2 0.9
"2514" 9705 5 500 2 0.95
"10710" 705 5 500 3 0.6
"7051" 3105 5 500 3 0.7
"13061" 5505 5 500 3 0.8
"19061" 7905 5 500 3 0.9
"25101" 10305 5 500 3 0.95
"10812" 1305 5 500 5 0.6
"9182" 3705 5 500 5 0.7
"15192" 6105 5 500 5 0.8
"21113" 8505 5 500 5 0.9
"27122" 10905 5 500 5 0.95
"6343" 1905 5 500 10 0.6
"17415" 4305 5 500 10 0.7
"27393" 6705 5 500 10 0.8
"3373" 305 5 500 10 0.9
"15215" 1050 5 500 10 0.95
"204" 205 5 1000 2 0.6
"808" 2605 5 1000 2 0.7
"1406" 5005 5 1000 2 0.8
"2007" 7405 5 1000 2 0.9
"2614" 9805 5 1000 2 0.95
"20410" 805 5 1000 3 0.6
"8071" 3205 5 1000 3 0.7
"14041" 5605 5 1000 3 0.8
"20121" 8005 5 1000 3 0.9
"26111" 10405 5 1000 3 0.95
"20912" 1405 5 1000 5 0.6
"10142" 3805 5 1000 5 0.7
"16162" 6205 5 1000 5 0.8
"22103" 8605 5 1000 5 0.9
"28142" 11005 5 1000 5 0.95
"7615" 2005 5 1000 10 0.6
"18753" 4405 5 1000 10 0.7
"28393" 6805 5 1000 10 0.8
"4303" 405 5 1000 10 0.9
"16373" 1150 5 1000 10 0.95
"306" 305 5 2000 2 0.6
"908" 2705 5 2000 2 0.7
"1505" 5105 5 2000 2 0.8
"2107" 7505 5 2000 2 0.9
"2711" 9905 5 2000 2 0.95
"3061" 905 5 2000 3 0.6
"9071" 3305 5 2000 3 0.7
"15061" 5705 5 2000 3 0.8
"21061" 8105 5 2000 3 0.9
"27071" 10505 5 2000 3 0.95
"3142" 1505 5 2000 5 0.6
"11152" 3905 5 2000 5 0.7
"17172" 6305 5 2000 5 0.8
"23162" 8705 5 2000 5 0.9
"29232" 11105 5 2000 5 0.95
"8993" 2105 5 2000 10 0.6
"20105" 4505 5 2000 10 0.7
"29353" 6905 5 2000 10 0.8
"6703" 505 5 2000 10 0.9
"20923" 1250 5 2000 10 0.95
"419" 405 5 5000 2 0.6
"1016" 2805 5 5000 2 0.7
"1624" 5205 5 5000 2 0.8
"2220" 7605 5 5000 2 0.9
"2818" 10005 5 5000 2 0.95
"4021" 1005 5 5000 3 0.6
"10081" 3405 5 5000 3 0.7
"16091" 5805 5 5000 3 0.8
"22211" 8205 5 5000 3 0.9
"28041" 10605 5 5000 3 0.95
"4152" 1605 5 5000 5 0.6
"12182" 4005 5 5000 5 0.7
"18222" 6405 5 5000 5 0.8
"24182" 8805 5 5000 5 0.9
"6202" 803 5 5000 5 0.95
"10243" 2205 5 5000 10 0.6
"21493" 4605 5 5000 10 0.7
"3314" 5 5 5000 10 0.8
"11123" 605 5 5000 10 0.9
"24363" 1350 5 5000 10 0.95
"503" 505 5 10000 2 0.6
"1105" 2905 5 10000 2 0.7
"1705" 5305 5 10000 2 0.8
"2312" 7705 5 10000 2 0.9
"2910" 10105 5 10000 2 0.95
"5041" 1105 5 10000 3 0.6
"11061" 3505 5 10000 3 0.7
"17111" 5905 5 10000 3 0.8
"23011" 8305 5 10000 3 0.9
"29021" 10705 5 10000 3 0.95
"5042" 1705 5 10000 5 0.6
"13113" 4105 5 10000 5 0.7
"19113" 6505 5 10000 5 0.8
"25152" 8905 5 10000 5 0.9
"6792" 850 5 10000 5 0.95
"11573" 2305 5 10000 10 0.6
"22783" 4705 5 10000 10 0.7
"15614" 105 5 10000 10 0.8
"13473" 705 5 10000 10 0.9
"25315" 1450 5 10000 10 0.95
"15" 6 6 100 2 0.6
"605" 2406 6 100 2 0.7
"1224" 4806 6 100 2 0.8
"1815" 7206 6 100 2 0.9
"2404" 9606 6 100 2 0.95
"3010" 606 6 100 3 0.6
"6031" 3006 6 100 3 0.7
"12161" 5406 6 100 3 0.8
"18131" 7806 6 100 3 0.9
"24331" 10206 6 100 3 0.95
"5102" 1206 6 100 5 0.6
"8132" 3606 6 100 5 0.7
"14392" 6006 6 100 5 0.8
"20352" 8406 6 100 5 0.9
"26282" 10806 6 100 5 0.95
"5503" 1806 6 100 10 0.6
"16515" 4206 6 100 10 0.7
"26415" 6606 6 100 10 0.8
"22814" 206 6 100 10 0.9
"14343" 951 6 100 10 0.95
"108" 106 6 500 2 0.6
"704" 2506 6 500 2 0.7
"1306" 4906 6 500 2 0.8
"1908" 7306 6 500 2 0.9
"2505" 9706 6 500 2 0.95
"10910" 706 6 500 3 0.6
"7071" 3106 6 500 3 0.7
"13071" 5506 6 500 3 0.8
"19141" 7906 6 500 3 0.9
"25191" 10306 6 500 3 0.95
"10712" 1306 6 500 5 0.6
"9162" 3706 6 500 5 0.7
"15162" 6106 6 500 5 0.8
"21122" 8506 6 500 5 0.9
"27152" 10906 6 500 5 0.95
"6353" 1906 6 500 10 0.6
"17563" 4306 6 500 10 0.7
"27303" 6706 6 500 10 0.8
"3293" 306 6 500 10 0.9
"15343" 1051 6 500 10 0.95
"208" 206 6 1000 2 0.6
"806" 2606 6 1000 2 0.7
"1405" 5006 6 1000 2 0.8
"2005" 7406 6 1000 2 0.9
"2613" 9806 6 1000 2 0.95
"20210" 806 6 1000 3 0.6
"8081" 3206 6 1000 3 0.7
"14081" 5606 6 1000 3 0.8
"20081" 8006 6 1000 3 0.9
"26121" 10406 6 1000 3 0.95
"20812" 1406 6 1000 5 0.6
"10182" 3806 6 1000 5 0.7
"16182" 6206 6 1000 5 0.8
"22113" 8606 6 1000 5 0.9
"28152" 11006 6 1000 5 0.95
"7723" 2006 6 1000 10 0.6
"18763" 4406 6 1000 10 0.7
"28303" 6806 6 1000 10 0.8
"4343" 406 6 1000 10 0.9
"16383" 1151 6 1000 10 0.95
"305" 306 6 2000 2 0.6
"907" 2706 6 2000 2 0.7
"1506" 5106 6 2000 2 0.8
"2106" 7506 6 2000 2 0.9
"2708" 9906 6 2000 2 0.95
"3091" 906 6 2000 3 0.6
"9081" 3306 6 2000 3 0.7
"15071" 5706 6 2000 3 0.8
"21091" 8106 6 2000 3 0.9
"27111" 10506 6 2000 3 0.95
"3313" 1506 6 2000 5 0.6
"11192" 3906 6 2000 5 0.7
"17222" 6306 6 2000 5 0.8
"23142" 8706 6 2000 5 0.9
"29152" 11106 6 2000 5 0.95
"9063" 2106 6 2000 10 0.6
"20133" 4506 6 2000 10 0.7
"29383" 6906 6 2000 10 0.8
"6523" 506 6 2000 10 0.9
"20963" 1251 6 2000 10 0.95
"405" 406 6 5000 2 0.6
"1017" 2806 6 5000 2 0.7
"1608" 5206 6 5000 2 0.8
"2208" 7606 6 5000 2 0.9
"2819" 10006 6 5000 2 0.95
"4251" 1006 6 5000 3 0.6
"10231" 3406 6 5000 3 0.7
"16051" 5806 6 5000 3 0.8
"22031" 8206 6 5000 3 0.9
"28111" 10606 6 5000 3 0.95
"4142" 1606 6 5000 5 0.6
"12192" 4006 6 5000 5 0.7
"18103" 6406 6 5000 5 0.8
"24252" 8806 6 5000 5 0.9
"6062" 804 6 5000 5 0.95
"10363" 2206 6 5000 10 0.6
"21473" 4606 6 5000 10 0.7
"3114" 6 6 5000 10 0.8
"11163" 606 6 5000 10 0.9
"24203" 1351 6 5000 10 0.95
"501" 506 6 10000 2 0.6
"1106" 2906 6 10000 2 0.7
"1702" 5306 6 10000 2 0.8
"2302" 7706 6 10000 2 0.9
"2914" 10106 6 10000 2 0.95
"5011" 1106 6 10000 3 0.6
"11071" 3506 6 10000 3 0.7
"17091" 5906 6 10000 3 0.8
"23071" 8306 6 10000 3 0.9
"29011" 10706 6 10000 3 0.95
"5052" 1706 6 10000 5 0.6
"13172" 4106 6 10000 5 0.7
"19132" 6506 6 10000 5 0.8
"25142" 8906 6 10000 5 0.9
"6862" 851 6 10000 5 0.95
"11615" 2306 6 10000 10 0.6
"22723" 4706 6 10000 10 0.7
"14614" 106 6 10000 10 0.8
"13433" 706 6 10000 10 0.9
"25353" 1451 6 10000 10 0.95
"28" 7 7 100 2 0.6
"604" 2407 7 100 2 0.7
"1211" 4807 7 100 2 0.8
"1804" 7207 7 100 2 0.9
"2417" 9607 7 100 2 0.95
"21100" 607 7 100 3 0.6
"6021" 3007 7 100 3 0.7
"12131" 5407 7 100 3 0.8
"18031" 7807 7 100 3 0.9
"24171" 10207 7 100 3 0.95
"3102" 1207 7 100 5 0.6
"8162" 3607 7 100 5 0.7
"14342" 6007 7 100 5 0.8
"20252" 8407 7 100 5 0.9
"26132" 10807 7 100 5 0.95
"5323" 1807 7 100 10 0.6
"16493" 4207 7 100 10 0.7
"26543" 6607 7 100 10 0.8
"22914" 207 7 100 10 0.9
"14315" 952 7 100 10 0.95
"109" 107 7 500 2 0.6
"713" 2507 7 500 2 0.7
"1308" 4907 7 500 2 0.8
"1907" 7307 7 500 2 0.9
"2513" 9707 7 500 2 0.95
"10510" 707 7 500 3 0.6
"7081" 3107 7 500 3 0.7
"13081" 5507 7 500 3 0.8
"19081" 7907 7 500 3 0.9
"25111" 10307 7 500 3 0.95
"10912" 1307 7 500 5 0.6
"9192" 3707 7 500 5 0.7
"15142" 6107 7 500 5 0.8
"21132" 8507 7 500 5 0.9
"27113" 10907 7 500 5 0.95
"6415" 1907 7 500 10 0.6
"17393" 4307 7 500 10 0.7
"27453" 6707 7 500 10 0.8
"3415" 307 7 500 10 0.9
